KOI Name,Minimum,Maximum,Mean,Std,IQR,Skew,Kurtosis,Q1,Q2,Slope,Amplitude,MAD,Residual Bright Faint Ratio,Median,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count
K00889.01,-41.83457946777344,12.25706958770752,-0.031439248472452164,1.865280747413636,0.06325500179082155,-10.82800579071045,138.11806387202094,-0.0364300012588501,-0.008609999902546406,1.586062079000023e-07,27.04582405090332,0.029820002615451813,28.21590806841052,-0.008609999902546406,8.884922995,169.99168600000004,2455002.992,0.069,2.07004,16053.4,0.114,11.62061,10.51,0.079,89.89,770.0,83.20999999999998,36.466,0.4970000000000001,0.204,0.0,0.0,5332.0,4.5,-0.08,0.843,0.821,61.291,474.021,388.2,1.0
K01009.01,-0.6669300198554993,0.11313000321388245,-0.007953699678182602,0.062159497290849686,0.006790000014007092,-6.642055034637451,44.99640992660935,-0.0037100000772625212,0.0,-1.4480609297533054e-07,0.3900300264358521,0.0035200000274926424,303.5066714998491,0.0,5.09246539,357.53594,2455190.536,0.161,3.659,254.0,0.014,0.8851,1.17,0.052000000000000005,89.14,844.0,119.7,10.67,0.551,0.165,0.0,0.0,5037.0,4.547,-0.2,0.7509999999999999,0.727,3.648,15.175,17.1,1.0
K07621.01,-2.3170599937438965,2.0144801139831543,-1.1300911864964293e-05,0.039240747690200806,0.0,-14.200892448425293,1926.289428962894,0.0,0.0,3.306054366265965e-11,2.1657700538635254,0.0,17.23716605449259,0.0,275.07365,315.2486,2455148.249,0.595,3.37,228.9,0.014,33.559940000000005,1.86,0.789,89.93,303.0,2.0,512.0,0.4370000000000001,0.243,0.0,0.0,5604.0,4.226,-0.12,1.187,0.8640000000000001,5.909,8.012,7.5,1.0
K06252.01,-252.4208984375,67.62171936035156,-0.5309610366821289,14.695307731628418,0.8870149999856949,-7.884773254394531,73.06769859501411,-0.6170549988746643,-0.20146000385284424,9.01614235317218e-07,160.02130126953125,0.43163996934890747,22.863513630103487,-0.20146000385284424,8.460438928,133.7744903,2454966.774,1.061,4.73492,76412.9,0.478,0.73874,36.62,0.075,85.68,804.0,98.6,14.087,0.299,0.306,0.0,0.0,5951.0,4.638,-1.06,0.7020000000000001,0.7959999999999999,452.526,3704.503,1797.4,1.0
K00958.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K00984.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04162.01,-0.32506000995635986,0.10575000196695328,-0.0030398047529160976,0.02297140285372734,0.002129999978933484,-6.5277953147888175,48.72433226181154,-0.0015399999683722856,-0.0005200000014156103,-1.6260883597387018e-08,0.21540500223636627,0.0010500000789761543,110.71967448188946,-0.0005200000014156103,0.53936593,131.97457,2454964.975,0.988,5.434,145.0,0.016,0.06737,9.19,0.017,12.57,5016.0,149399.93,1.012,0.314,0.304,0.0,0.0,6341.0,3.301,-0.1,5.3020000000000005,2.05,4.847,9.076,57.6,1.0
K07622.01,-1.0524200201034546,0.198170006275177,-0.0013307814951986074,0.031887710094451904,0.0009500000160187484,-22.954833984375,565.0078329563839,-0.0009500000160187484,-0.0003999999898951501,-3.267208591555328e-09,0.6252950429916382,0.00045999998110346496,222.98914195695173,-0.0003999999898951501,36.2671673,155.0813,2454988.081,0.214,2.065,627.1,0.022,34.69388,1.5,0.182,89.91,347.0,3.44,134.1,0.644,0.101,0.0,0.0,4264.0,4.637,-0.2,0.62,0.607,3.016,7.472,10.0,1.0
K00994.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K00998.01,-131.64445495605472,18.24279022216797,-0.08454795181751251,3.145495891571045,0.002914999960921705,-32.04837417602539,1091.8916375959725,-0.0022849999368190765,0.0,1.4887709472920414e-07,74.94361877441406,0.0011699999449774625,386.7689503691374,0.0,161.78832712,214.039,2455047.039,0.267,5.31,87750.0,0.273,17.58377,36.14,0.607,89.95,375.0,4.68,289.8,0.373,0.28300000000000003,0.0,0.0,6018.0,4.327,0.18,1.212,1.142,341.666,806.993,704.5,1.0
